🦊 ラッキースポット候補リスト(Web検索ベース),,,,,,,
※豊川ガイドさんの判断で取捨選択して、メインの「ラッキースポット入力」シートにコピペしてください,,,,,,,
※Instagramアカウントは「Instagram情報」列を参照(★=確認済み・更新活発、△=アカウントあり、?=未確認),,,,,,,
,,,,,,,
カテゴリ,店名/施設名,エリア,特徴・看板メニュー,Instagram情報,絵文字案,備考,採用?
カフェ,CafeRob豊川店,中条町,パンケーキで有名。テラス席あり、ドッグカフェ,★(@caferob_toyokawa),🥞,"フォロワー5,500超、投稿頻度高",
カフェ,Haag cafe(ハーグカフェ),豊川栄町,デザイン会社経営のおしゃれカフェ。コンクリート床+木目,△,☕,豊川駅から徒歩7分、女性人気,
カフェ,mol cafe(モルカフェ),豊川市,ホットサンド・カフェラテのモーニング,?,☕,豊川駅徒歩17分、落ち着いた店内,
カフェ,WELL珈琲,稲荷口,フレンチトースト絶品。家族経営の隠れ家,?,☕,稲荷口駅徒歩13分,
カフェ,Cafe Mood Toyokawa,豊川稲荷駅近く,SNS映えメニュー人気、座敷席もあり,?,☕,豊川稲荷駅徒歩15分,
カフェ,Chaton Mignon(シャトンミニョン),豊川稲荷駅近く,白基調のおしゃれ。けずりいちご・あにまるアイスが映える,△,🍓,いちご農園経営、SNS映え強い,
カフェ,ショコラガーデン,豊川市住宅街,ナチュラル系隠れ家カフェ。BLTサンドが人気,△,🥪,隠れ家系、ランチ人気,
カフェ,ウラニワ デ カフェ,豊川市,スペシャルティーコーヒーとシフォンケーキ,?,☕,デコシフォンケーキが看板,
カフェ,ミニチュアワールドカフェ,豊川市,ガラステーブルの中にミニチュアが動く穴場デート,?,🏘️,雰囲気ある夢のような世界観,
カフェ,みつばち村のさんぽ道,豊川市,はちみつ専門店併設のジブリ世界観カフェ,★,🐝,メルヘン、外観可愛い,
カフェ,茶房 遊菴,赤坂町,2025年1月OPENの新カフェ,?,🍵,新店、要チェック,
カフェ,nido(雑貨カフェ),豊川市,パフェ大人気、雑貨も併設,△,🍨,本好きにテンション上がる空間,
スイーツ,パティスリー ラ・ネージュ,八幡町,市役所近くのフランス菓子。アップルタルト・パイ有名,△,🍰,老舗の有名店,
スイーツ,CUSTARD BOYA(カスタードボウヤ),豊川市,2024/7月OPEN、アメリカナイズなスイーツ,★,🍮,インスタ更新活発、カヌレ等,
スイーツ,Pâtisserie Mone,諏訪,可愛いケーキ屋。記念日にも,△,🎂,諏訪エリア,
スイーツ,ガトー・ラヴィ,豊川市,音羽米の米粉を使ったご当地スイーツ。シュークリーム,★,🥐,豊川産食材活用、地元ブランド,
スイーツ,キャロール,新桜町通,老舗ケーキ屋。あらびか喫茶併設,?,🍰,火曜定休、定番老舗,
スイーツ,チーズ菓子専門店カラベル,光明町,チーズ菓子専門店,△,🧀,専門店,
スイーツ,ティラミス専門店 Pettira,正岡町,ティラミス専門店,△,🍮,専門特化型,
スイーツ,Cleam D(クリームディー),本野ケ原,生ドーナツ専門店。東三河初・愛知初・東海初の三冠,★,🍩,2026年4月OPEN話題店,
スイーツ,abeille chiffoncake,豊川市(移転後),真紅の美鈴いちごサンドが絶品と話題,★,🍓,豊川ガイドさんも絶賛掲載済み,
スイーツ,宝珠まんじゅう(老舗),豊川稲荷総門前,豊川稲荷の定紋をかたどったまんじゅう。1947年創業,?,🍡,ご祈祷済みお米使用、お土産定番,
スイーツ,おきつね本舗,門前町,おきつねバーガーが看板。豊川稲荷B級グルメ,△,🦊,バンズが油揚げの名物,
グルメ,門前そば 山彦,豊川稲荷門前,稲荷参拝後の定番そば屋,?,🦊,門前定番,
グルメ,おきつね本舗,門前町1,おきつねバーガー、いなり寿司専門,△,🦊,上記スイーツと重複(両カテゴリで使える),
グルメ,スバカマナ,豊川市,本格インド料理。タンドリーセット人気,?,🍛,インドカレー専門,
グルメ,HANAO CAFE,イオン豊川,ハワイアンメニュー充実,△,🌺,イオン豊川2階,
グルメ,ロコフード,八幡駅近く,ハワイアンディナーメニュー、スイーツも,△,🌺,八幡駅3分,
グルメ,アークリッシュ豊川,豊川駅近く,本格中華、ホテル直営,△,🥢,豊川駅周辺ホットゾーン,
観光,豊川稲荷(妙厳寺),豊川町,日本三大稲荷。霊狐塚は写真映え,★(公式),🦊,豊川の象徴,
観光,砥鹿神社 里宮,一宮町,三河国一宮。古社の風格,△,⛩️,由緒ある神社,
観光,東三河ふるさと公園,御油町,広大な公園、東海道宿場町風滑り台,△,🌳,ファミリーで,
観光,赤塚山公園(ぎょぎょランド),市田町,東三河唯一の淡水魚水族館。入場無料,△,🐟,家族向け人気スポット,
観光,アニアニまある,市田町,赤塚山公園内の小動物園。ヤギ・ウサギふれあい,△,🐰,ぎょぎょランド隣接,
観光,佐奈川堤の桜,佐奈川沿い,約4kmの桜並木+菜の花のコントラスト,△,🌸,春の名所、4月限定,
観光,御油の松並木,御油町,旧東海道の松並木。国の天然記念物,△,🌲,歴史名所,
観光,菟足神社,小坂井町,うさぎがたくさん、御朱印人気,△,🐰,可愛さ重視,
観光,大社神社,国府町,花魁道中(歌舞伎行列)で有名,△,⛩️,お祭り時期に,
観光,本宮山,上長山町,登山口、自然豊か,?,⛰️,アウトドア,
体験,本宮の湯,上長山町,日帰り天然温泉、森の湯と空の湯,△,♨️,入れ替え制、自然の中,
体験,豊川コロナワールド,牛久保町,映画+温泉+カラオケ+ボウリングの大型施設,△,🎬,雨の日でも遊べる,
体験,保護猫カフェtormenta,豊川市,ジブリ風建物の保護猫カフェ。豊川初,★,🐱,小学生以下OKの貴重な猫カフェ,
体験,プロモンテファーム,平尾町,いちご狩り&トマト収穫体験,★,🍓,本宮山登山口、観光農園,
体験,キッズランドUS 愛知豊川店,豊川市,室内遊び場,△,🎈,ファミリー向け,
体験,ぎょぎょランド水の広場,市田町,夏の水遊びスポット,△,💦,夏限定の楽しみ,
体験,御幸浜パターゴルフ,御津町,天然芝18ホール,?,⛳,名豊道路近く,
体験,音羽運動公園,音羽地区,スポーツ施設,?,🏃,運動利用,
ショップ,無印良品 イオン豊川開運通店,開運通,2025年10月オープン,★(無印公式),🛍️,新店、話題,
ショップ,JAひまわり農産物直売所,豊川市,地元野菜・果物。光センサー糖度測定,△,🥬,地産地消,
ショップ,日用品・雑貨 どやすいや,上州屋跡地,JAGA合同会社運営の日用品店,?,🛍️,2025年4月オープン,
アイテム,豊川稲荷のお守り,豊川稲荷,お守り・絵馬。商売繁盛・家内安全,-,🎴,アイテム枠,
アイテム,いなり寿司,豊川市内,ご当地グルメ,-,🦊,アイテム枠(食べ物),
